in:38 out:39 type:b q:8.10 q-aq:7.86 q-noVbv:8.10 q-Rceq:1.08 tex:3 mv:43 misc:256 icu:0.00 pcu:4.00 scu:1820.00 ;
in:42 out:40 type:P q:3.68 q-aq:3.00 q-noVbv:3.68 q-Rceq:1.08 tex:1773 mv:74 misc:596 icu:4.25 pcu:4.25 scu:1815.50 ;
in:41 out:41 type:B q:5.40 q-aq:4.75 q-noVbv:5.40 q-Rceq:1.08 tex:372 mv:57 misc:357 icu:20.00 pcu:8.00 scu:1796.00 ;
in:40 out:42 type:b q:7.13 q-aq:6.73 q-noVbv:7.13 q-Rceq:1.08 tex:472 mv:113 misc:295 icu:25.25 pcu:9.75 scu:1789.00 ;
in:47 out:43 type:P q:2.66 q-aq:2.46 q-noVbv:2.66 q-Rceq:1.08 tex:4541 mv:153 misc:605 icu:24.25 pcu:11.00 scu:1788.75 ;
in:45 out:44 type:B q:4.20 q-aq:3.81 q-noVbv:4.20 q-Rceq:1.08 tex:3203 mv:173 misc:421 icu:25.25 pcu:12.00 scu:1786.75 ;
in:43 out:45 type:b q:5.75 q-aq:5.77 q-noVbv:5.75 q-Rceq:1.08 tex:189 mv:119 misc:290 icu:24.00 pcu:9.50 scu:1790.50 ;
in:44 out:46 type:b q:5.54 q-aq:5.72 q-noVbv:5.54 q-Rceq:1.08 tex:2054 mv:121 misc:358 icu:25.00 pcu:30.75 scu:1768.25 ;
in:46 out:47 type:b q:5.14 q-aq:4.86 q-noVbv:5.14 q-Rceq:1.08 tex:4 mv:40 misc:277 icu:0.00 pcu:4.00 scu:1820.00 ;
in:50 out:48 type:P q:1.12 q-aq:0.88 q-noVbv:1.12 q-Rceq:1.08 tex:898 mv:137 misc:574 icu:24.25 pcu:11.00 scu:1788.75 ;
in:49 out:49 type:B q:2.77 q-aq:2.77 q-noVbv:2.77 q-Rceq:1.08 tex:459 mv:68 misc:387 icu:24.00 pcu:8.25 scu:1791.75 ;
in:48 out:50 type:b q:4.42 q-aq:3.79 q-noVbv:4.42 q-Rceq:1.08 tex:514 mv:95 misc:335 icu:24.25 pcu:9.25 scu:1790.50 ;
in:51 out:51 type:P q:0.60 q-aq:0.76 q-noVbv:0.60 q-Rceq:1.08 tex:618 mv:139 misc:486 icu:24.25 pcu:7.25 scu:1792.50 ;
in:52 out:52 type:P q:0.43 q-aq:0.00 q-noVbv:0.43 q-Rceq:1.08 tex:932 mv:68 misc:446 icu:28.00 pcu:12.00 scu:1784.00 ;
in:55 out:53 type:P q:0.27 q-aq:0.00 q-noVbv:0.27 q-Rceq:1.08 tex:247 mv:101 misc:234 icu:24.00 pcu:20.00 scu:1780.00 ;
in:54 out:54 type:B q:1.46 q-aq:0.96 q-noVbv:1.46 q-Rceq:1.08 tex:176 mv:97 misc:227 icu:24.00 pcu:20.00 scu:1780.00 ;
in:53 out:55 type:b q:2.65 q-aq:2.75 q-noVbv:2.65 q-Rceq:1.08 tex:90 mv:54 misc:202 icu:0.00 pcu:20.00 scu:1804.00 ;
in:60 out:56 type:P q:0.00 q-aq:0.00 q-noVbv:-0.21 q-Rceq:1.08 tex:448 mv:120 misc:221 icu:24.00 pcu:20.00 scu:1780.00 ;
in:58 out:57 type:B q:1.24 q-aq:0.89 q-noVbv:1.24 q-Rceq:1.08 tex:193 mv:89 misc:232 icu:24.00 pcu:20.00 scu:1780.00 ;
in:56 out:58 type:b q:2.48 q-aq:1.94 q-noVbv:2.48 q-Rceq:1.08 tex:548 mv:88 misc:217 icu:24.00 pcu:8.00 scu:1792.00 ;
in:57 out:59 type:b q:2.43 q-aq:1.94 q-noVbv:2.43 q-Rceq:1.08 tex:3 mv:51 misc:186 icu:0.00 pcu:16.00 scu:1808.00 ;
in:59 out:60 type:b q:2.32 q-aq:1.94 q-noVbv:2.32 q-Rceq:1.08 tex:84 mv:52 misc:201 icu:0.00 pcu:20.00 scu:1804.00 ;
in:63 out:61 type:P q:0.00 q-aq:0.00 q-noVbv:-0.95 q-Rceq:1.08 tex:3887 mv:132 misc:257 icu:24.00 pcu:23.25 scu:1776.75 ;
in:62 out:62 type:B q:1.14 q-aq:0.97 q-noVbv:1.14 q-Rceq:1.08 tex:460 mv:119 misc:258 icu:24.00 pcu:29.50 scu:1770.50 ;
in:61 out:63 type:b q:2.27 q-aq:1.94 q-noVbv:2.27 q-Rceq:1.08 tex:88 mv:73 misc:223 icu:0.00 pcu:8.25 scu:1815.75 ;
in:68 out:64 type:P q:0.00 q-aq:0.00 q-noVbv:-1.35 q-Rceq:1.08 tex:11863 mv:331 misc:302 icu:25.50 pcu:26.50 scu:1772.00 ;
in:66 out:65 type:B q:1.14 q-aq:0.88 q-noVbv:1.14 q-Rceq:1.08 tex:2236 mv:125 misc:330 icu:20.00 pcu:92.25 scu:1711.75 ;
in:64 out:66 type:b q:2.27 q-aq:1.85 q-noVbv:2.27 q-Rceq:1.08 tex:380 mv:116 misc:217 icu:24.00 pcu:24.00 scu:1776.00 ;
in:65 out:67 type:b q:2.27 q-aq:1.75 q-noVbv:2.27 q-Rceq:1.08 tex:2548 mv:131 misc:285 icu:24.00 pcu:47.75 scu:1752.25 ;
in:67 out:68 type:b q:2.27 q-aq:1.77 q-noVbv:2.27 q-Rceq:1.08 tex:338 mv:95 misc:232 icu:20.00 pcu:12.00 scu:1792.00 ;
in:73 out:69 type:P q:0.00 q-aq:0.00 q-noVbv:-1.99 q-Rceq:1.08 tex:5321 mv:226 misc:308 icu:25.50 pcu:22.00 scu:1776.50 ;
in:71 out:70 type:B q:1.14 q-aq:0.97 q-noVbv:1.14 q-Rceq:1.08 tex:2428 mv:153 misc:265 icu:24.00 pcu:42.00 scu:1758.00 ;
in:69 out:71 type:b q:2.27 q-aq:1.86 q-noVbv:2.27 q-Rceq:1.08 tex:494 mv:120 misc:264 icu:24.00 pcu:10.00 scu:1790.00 ;
in:70 out:72 type:b q:2.27 q-aq:1.86 q-noVbv:2.27 q-Rceq:1.08 tex:579 mv:143 misc:269 icu:24.00 pcu:10.75 scu:1789.25 ;
in:72 out:73 type:b q:2.27 q-aq:1.80 q-noVbv:2.27 q-Rceq:1.08 tex:2991 mv:144 misc:265 icu:24.50 pcu:28.75 scu:1770.75 ;
